pu-met-fast-002-001                                                             
       238 number of neutron groups
       134   number of sensitivity profiles          70 are region integrated
  1.000844 +/-   0.000100  k-eff from the forward case
energy boundaries:
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00
  3.694606E-15  8.878619E-15  2.685397E-09  3.206828E-09  5.357042E-09
  2.551581E-08  7.016750E-08  1.967924E-07  4.792038E-07  3.567264E-07
  1.339119E-06  1.080261E-06  5.421322E-07  1.676069E-06  1.759836E-06
  9.007773E-07  6.042323E-07  6.095772E-07  8.739663E-07  7.935447E-07
  1.257561E-06  1.246361E-06  1.340516E-06  5.634025E-07  6.798974E-07
  4.978675E-07  1.053505E-06  1.444635E-06  1.489207E-06  4.482702E-07
  1.688861E-06  9.474541E-07  9.325856E-07  1.488841E-06  1.061045E-06
  1.093732E-06  8.992848E-07  9.710993E-07  2.017554E-06  1.805902E-06
  1.913414E-06  1.340116E-06  6.768240E-07  7.483209E-07  4.374937E-07
  1.916716E-07  2.908667E-07  1.589815E-07  3.996864E-07  2.398851E-07
  1.289942E-07  1.969451E-07  3.214885E-07  1.280827E-07  1.428749E-07
  8.478515E-08  6.888898E-08  4.277220E-08  4.581361E-08  3.854685E-08
  1.221388E-08  3.965882E-08  9.715137E-09  2.254649E-08  3.532868E-09
  1.535284E-08  2.163982E-08  1.662915E-11  5.019189E-09  3.771322E-09
  1.177424E-10  3.647025E-12  1.656384E-11  2.663189E-11  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
